,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,BUNDANG
0,2019-10-01 01:00:00,2019,10,1,2,1,0,55.1
2,2019-10-01 02:00:00,2019,10,1,2,2,0,56.0
4,2019-10-01 03:00:00,2019,10,1,2,3,0,51.0
6,2019-10-01 04:00:00,2019,10,1,2,4,0,48.9
8,2019-10-01 05:00:00,2019,10,1,2,5,0,44.9
10,2019-10-01 06:00:00,2019,10,1,2,6,1,44.9
12,2019-10-01 07:00:00,2019,10,1,2,7,1,47.9
14,2019-10-01 08:00:00,2019,10,1,2,8,1,52.9
16,2019-10-01 09:00:00,2019,10,1,2,9,1,66.0
18,2019-10-01 10:00:00,2019,10,1,2,10,1,71.1
20,2019-10-01 11:00:00,2019,10,1,2,11,1,71.2
22,2019-10-01 12:00:00,2019,10,1,2,12,2,70.3
24,2019-10-01 13:00:00,2019,10,1,2,13,2,69.3
26,2019-10-01 14:00:00,2019,10,1,2,14,2,66.2
28,2019-10-01 15:00:00,2019,10,1,2,15,2,62.2
30,2019-10-01 16:00:00,2019,10,1,2,16,2,53.2
32,2019-10-01 17:00:00,2019,10,1,2,17,2,48.1
34,2019-10-01 18:00:00,2019,10,1,2,18,3,49.9
36,2019-10-01 19:00:00,2019,10,1,2,19,3,52.9
38,2019-10-01 20:00:00,2019,10,1,2,20,3,62.9
40,2019-10-01 21:00:00,2019,10,1,2,21,3,66.8
42,2019-10-01 22:00:00,2019,10,1,2,22,3,61.9
44,2019-10-01 23:00:00,2019,10,1,2,23,3,55.9
46,2019-10-02 00:00:00,2019,10,2,2,0,0,46.9
48,2019-10-02 01:00:00,2019,10,2,2,1,0,60.8
50,2019-10-02 02:00:00,2019,10,2,2,2,0,49.8
52,2019-10-02 03:00:00,2019,10,2,2,3,0,43.8
54,2019-10-02 04:00:00,2019,10,2,2,4,0,44.9
56,2019-10-02 05:00:00,2019,10,2,2,5,0,46.9
58,2019-10-02 06:00:00,2019,10,2,2,6,1,48.9
60,2019-10-02 07:00:00,2019,10,2,2,7,1,53.9
62,2019-10-02 08:00:00,2019,10,2,2,8,1,80.9
64,2019-10-02 09:00:00,2019,10,2,2,9,1,71.9
66,2019-10-02 10:00:00,2019,10,2,2,10,1,60.0
68,2019-10-02 11:00:00,2019,10,2,2,11,1,57.0
70,2019-10-02 12:00:00,2019,10,2,2,12,2,56.0
72,2019-10-02 13:00:00,2019,10,2,2,13,2,54.0
74,2019-10-02 14:00:00,2019,10,2,2,14,2,53.9
76,2019-10-02 15:00:00,2019,10,2,2,15,2,55.0
78,2019-10-02 16:00:00,2019,10,2,2,16,2,53.9
80,2019-10-02 17:00:00,2019,10,2,2,17,2,50.1
82,2019-10-02 18:00:00,2019,10,2,2,18,3,42.0
84,2019-10-02 19:00:00,2019,10,2,2,19,3,50.0
86,2019-10-02 20:00:00,2019,10,2,2,20,3,59.0
88,2019-10-02 21:00:00,2019,10,2,2,21,3,75.0
90,2019-10-02 22:00:00,2019,10,2,2,22,3,66.0
92,2019-10-02 23:00:00,2019,10,2,2,23,3,61.0
94,2019-10-03 00:00:00,2019,10,3,2,0,0,62.0
96,2019-10-03 01:00:00,2019,10,3,2,1,0,52.0
98,2019-10-03 02:00:00,2019,10,3,2,2,0,46.0
100,2019-10-03 03:00:00,2019,10,3,2,3,0,44.0
102,2019-10-03 04:00:00,2019,10,3,2,4,0,42.0
104,2019-10-03 05:00:00,2019,10,3,2,5,0,40.0
106,2019-10-03 06:00:00,2019,10,3,2,6,1,43.0
108,2019-10-03 07:00:00,2019,10,3,2,7,1,48.0
110,2019-10-03 08:00:00,2019,10,3,2,8,1,54.0
112,2019-10-03 09:00:00,2019,10,3,2,9,1,62.0
114,2019-10-03 10:00:00,2019,10,3,2,10,1,65.0
116,2019-10-03 11:00:00,2019,10,3,2,11,1,66.1
118,2019-10-03 12:00:00,2019,10,3,2,12,2,64.5
120,2019-10-03 13:00:00,2019,10,3,2,13,2,58.3
122,2019-10-03 14:00:00,2019,10,3,2,14,2,50.4
124,2019-10-03 15:00:00,2019,10,3,2,15,2,46.6
126,2019-10-03 16:00:00,2019,10,3,2,16,2,42.3
128,2019-10-03 17:00:00,2019,10,3,2,17,2,43.0
130,2019-10-03 18:00:00,2019,10,3,2,18,3,44.9
132,2019-10-03 19:00:00,2019,10,3,2,19,3,49.9
134,2019-10-03 20:00:00,2019,10,3,2,20,3,51.9
136,2019-10-03 21:00:00,2019,10,3,2,21,3,48.9
138,2019-10-03 22:00:00,2019,10,3,2,22,3,44.9
140,2019-10-03 23:00:00,2019,10,3,2,23,3,39.9
142,2019-10-04 00:00:00,2019,10,4,2,0,0,36.9
144,2019-10-04 01:00:00,2019,10,4,2,1,0,43.6
146,2019-10-04 02:00:00,2019,10,4,2,2,0,40.8
148,2019-10-04 03:00:00,2019,10,4,2,3,0,37.8
150,2019-10-04 04:00:00,2019,10,4,2,4,0,39.8
152,2019-10-04 05:00:00,2019,10,4,2,5,0,44.8
154,2019-10-04 06:00:00,2019,10,4,2,6,1,55.7
156,2019-10-04 07:00:00,2019,10,4,2,7,1,64.8
158,2019-10-04 08:00:00,2019,10,4,2,8,1,70.8
160,2019-10-04 09:00:00,2019,10,4,2,9,1,68.8
162,2019-10-04 10:00:00,2019,10,4,2,10,1,62.0
164,2019-10-04 11:00:00,2019,10,4,2,11,1,58.2
166,2019-10-04 12:00:00,2019,10,4,2,12,2,56.8
168,2019-10-04 13:00:00,2019,10,4,2,13,2,53.6
170,2019-10-04 14:00:00,2019,10,4,2,14,2,56.5
172,2019-10-04 15:00:00,2019,10,4,2,15,2,58.1
174,2019-10-04 16:00:00,2019,10,4,2,16,2,59.1
176,2019-10-04 17:00:00,2019,10,4,2,17,2,64.0
178,2019-10-04 18:00:00,2019,10,4,2,18,3,68.9
180,2019-10-04 19:00:00,2019,10,4,2,19,3,72.9
182,2019-10-04 20:00:00,2019,10,4,2,20,3,70.9
184,2019-10-04 21:00:00,2019,10,4,2,21,3,65.9
186,2019-10-04 22:00:00,2019,10,4,2,22,3,62.9
188,2019-10-04 23:00:00,2019,10,4,2,23,3,58.9
190,2019-10-05 00:00:00,2019,10,5,2,0,0,55.8
192,2019-10-05 01:00:00,2019,10,5,2,1,0,53.2
194,2019-10-05 02:00:00,2019,10,5,2,2,0,44.8
196,2019-10-05 03:00:00,2019,10,5,2,3,0,40.8
198,2019-10-05 04:00:00,2019,10,5,2,4,0,40.8
200,2019-10-05 05:00:00,2019,10,5,2,5,0,41.8
202,2019-10-05 06:00:00,2019,10,5,2,6,1,44.8
204,2019-10-05 07:00:00,2019,10,5,2,7,1,50.9
206,2019-10-05 08:00:00,2019,10,5,2,8,1,55.0
208,2019-10-05 09:00:00,2019,10,5,2,9,1,58.0
210,2019-10-05 10:00:00,2019,10,5,2,10,1,62.0
212,2019-10-05 11:00:00,2019,10,5,2,11,1,60.0
214,2019-10-05 12:00:00,2019,10,5,2,12,2,57.0
216,2019-10-05 13:00:00,2019,10,5,2,13,2,50.3
218,2019-10-05 14:00:00,2019,10,5,2,14,2,43.4
220,2019-10-05 15:00:00,2019,10,5,2,15,2,43.3
222,2019-10-05 16:00:00,2019,10,5,2,16,2,44.1
224,2019-10-05 17:00:00,2019,10,5,2,17,2,47.0
226,2019-10-05 18:00:00,2019,10,5,2,18,3,53.0
228,2019-10-05 19:00:00,2019,10,5,2,19,3,57.0
230,2019-10-05 20:00:00,2019,10,5,2,20,3,60.9
232,2019-10-05 21:00:00,2019,10,5,2,21,3,63.0
234,2019-10-05 22:00:00,2019,10,5,2,22,3,60.9
236,2019-10-05 23:00:00,2019,10,5,2,23,3,58.9
238,2019-10-06 00:00:00,2019,10,6,2,0,0,57.9
240,2019-10-06 01:00:00,2019,10,6,2,1,0,52.9
242,2019-10-06 02:00:00,2019,10,6,2,2,0,48.0
244,2019-10-06 03:00:00,2019,10,6,2,3,0,47.0
246,2019-10-06 04:00:00,2019,10,6,2,4,0,45.9
248,2019-10-06 05:00:00,2019,10,6,2,5,0,46.0
250,2019-10-06 06:00:00,2019,10,6,2,6,1,48.9
252,2019-10-06 07:00:00,2019,10,6,2,7,1,51.0
254,2019-10-06 08:00:00,2019,10,6,2,8,1,56.0
256,2019-10-06 09:00:00,2019,10,6,2,9,1,63.1
258,2019-10-06 10:00:00,2019,10,6,2,10,1,66.4
260,2019-10-06 11:00:00,2019,10,6,2,11,1,62.4
262,2019-10-06 12:00:00,2019,10,6,2,12,2,51.6
264,2019-10-06 13:00:00,2019,10,6,2,13,2,46.5
266,2019-10-06 14:00:00,2019,10,6,2,14,2,41.4
268,2019-10-06 15:00:00,2019,10,6,2,15,2,41.4
270,2019-10-06 16:00:00,2019,10,6,2,16,2,40.1
272,2019-10-06 17:00:00,2019,10,6,2,17,2,43.0
274,2019-10-06 18:00:00,2019,10,6,2,18,3,49.0
276,2019-10-06 19:00:00,2019,10,6,2,19,3,58.0
278,2019-10-06 20:00:00,2019,10,6,2,20,3,64.0
280,2019-10-06 21:00:00,2019,10,6,2,21,3,63.0
282,2019-10-06 22:00:00,2019,10,6,2,22,3,60.0
284,2019-10-06 23:00:00,2019,10,6,2,23,3,57.0
286,2019-10-07 00:00:00,2019,10,7,2,0,0,53.0
288,2019-10-07 01:00:00,2019,10,7,2,1,0,59.0
290,2019-10-07 02:00:00,2019,10,7,2,2,0,53.0
292,2019-10-07 03:00:00,2019,10,7,2,3,0,49.0
294,2019-10-07 04:00:00,2019,10,7,2,4,0,46.0
296,2019-10-07 05:00:00,2019,10,7,2,5,0,47.0
298,2019-10-07 06:00:00,2019,10,7,2,6,1,52.0
300,2019-10-07 07:00:00,2019,10,7,2,7,1,60.0
302,2019-10-07 08:00:00,2019,10,7,2,8,1,70.0
304,2019-10-07 09:00:00,2019,10,7,2,9,1,66.0
306,2019-10-07 10:00:00,2019,10,7,2,10,1,56.0
308,2019-10-07 11:00:00,2019,10,7,2,11,1,49.0
310,2019-10-07 12:00:00,2019,10,7,2,12,2,50.0
312,2019-10-07 13:00:00,2019,10,7,2,13,2,56.0
314,2019-10-07 14:00:00,2019,10,7,2,14,2,61.0
316,2019-10-07 15:00:00,2019,10,7,2,15,2,67.0
318,2019-10-07 16:00:00,2019,10,7,2,16,2,68.9
320,2019-10-07 17:00:00,2019,10,7,2,17,2,68.9
322,2019-10-07 18:00:00,2019,10,7,2,18,3,70.0
324,2019-10-07 19:00:00,2019,10,7,2,19,3,72.0
326,2019-10-07 20:00:00,2019,10,7,2,20,3,71.0
328,2019-10-07 21:00:00,2019,10,7,2,21,3,76.0
330,2019-10-07 22:00:00,2019,10,7,2,22,3,87.0
332,2019-10-07 23:00:00,2019,10,7,2,23,3,85.0
334,2019-10-08 00:00:00,2019,10,8,2,0,0,78.0
336,2019-10-08 01:00:00,2019,10,8,2,1,0,65.9
338,2019-10-08 02:00:00,2019,10,8,2,2,0,58.0
340,2019-10-08 03:00:00,2019,10,8,2,3,0,53.9
342,2019-10-08 04:00:00,2019,10,8,2,4,0,50.0
344,2019-10-08 05:00:00,2019,10,8,2,5,0,54.0
346,2019-10-08 06:00:00,2019,10,8,2,6,1,61.0
348,2019-10-08 07:00:00,2019,10,8,2,7,1,73.0
350,2019-10-08 08:00:00,2019,10,8,2,8,1,80.9
352,2019-10-08 09:00:00,2019,10,8,2,9,1,81.0
354,2019-10-08 10:00:00,2019,10,8,2,10,1,69.1
356,2019-10-08 11:00:00,2019,10,8,2,11,1,53.1
358,2019-10-08 12:00:00,2019,10,8,2,12,2,41.3
360,2019-10-08 13:00:00,2019,10,8,2,13,2,36.5
362,2019-10-08 14:00:00,2019,10,8,2,14,2,34.6
364,2019-10-08 15:00:00,2019,10,8,2,15,2,39.4
366,2019-10-08 16:00:00,2019,10,8,2,16,2,48.3
368,2019-10-08 17:00:00,2019,10,8,2,17,2,61.2
370,2019-10-08 18:00:00,2019,10,8,2,18,3,74.0
372,2019-10-08 19:00:00,2019,10,8,2,19,3,85.9
374,2019-10-08 20:00:00,2019,10,8,2,20,3,94.9
376,2019-10-08 21:00:00,2019,10,8,2,21,3,100.9
378,2019-10-08 22:00:00,2019,10,8,2,22,3,100.9
380,2019-10-08 23:00:00,2019,10,8,2,23,3,99.9
382,2019-10-09 00:00:00,2019,10,9,2,0,0,94.9
384,2019-10-09 01:00:00,2019,10,9,2,1,0,73.8
386,2019-10-09 02:00:00,2019,10,9,2,2,0,67.9
388,2019-10-09 03:00:00,2019,10,9,2,3,0,62.9
390,2019-10-09 04:00:00,2019,10,9,2,4,0,62.9
392,2019-10-09 05:00:00,2019,10,9,2,5,0,62.8
394,2019-10-09 06:00:00,2019,10,9,2,6,1,70.8
396,2019-10-09 07:00:00,2019,10,9,2,7,1,80.9
398,2019-10-09 08:00:00,2019,10,9,2,8,1,86.9
400,2019-10-09 09:00:00,2019,10,9,2,9,1,81.9
402,2019-10-09 10:00:00,2019,10,9,2,10,1,69.2
404,2019-10-09 11:00:00,2019,10,9,2,11,1,59.3
406,2019-10-09 12:00:00,2019,10,9,2,12,2,49.5
408,2019-10-09 13:00:00,2019,10,9,2,13,2,43.5
410,2019-10-09 14:00:00,2019,10,9,2,14,2,42.4
412,2019-10-09 15:00:00,2019,10,9,2,15,2,46.4
414,2019-10-09 16:00:00,2019,10,9,2,16,2,50.2
416,2019-10-09 17:00:00,2019,10,9,2,17,2,59.1
418,2019-10-09 18:00:00,2019,10,9,2,18,3,72.0
420,2019-10-09 19:00:00,2019,10,9,2,19,3,90.0
422,2019-10-09 20:00:00,2019,10,9,2,20,3,103.0
424,2019-10-09 21:00:00,2019,10,9,2,21,3,112.0
426,2019-10-09 22:00:00,2019,10,9,2,22,3,112.0
428,2019-10-09 23:00:00,2019,10,9,2,23,3,109.0
430,2019-10-10 00:00:00,2019,10,10,2,0,0,99.0
432,2019-10-10 01:00:00,2019,10,10,2,1,0,87.0
434,2019-10-10 02:00:00,2019,10,10,2,2,0,83.9
436,2019-10-10 03:00:00,2019,10,10,2,3,0,79.9
438,2019-10-10 04:00:00,2019,10,10,2,4,0,79.9
440,2019-10-10 05:00:00,2019,10,10,2,5,0,82.0
442,2019-10-10 06:00:00,2019,10,10,2,6,1,90.0
444,2019-10-10 07:00:00,2019,10,10,2,7,1,99.0
446,2019-10-10 08:00:00,2019,10,10,2,8,1,104.0
448,2019-10-10 09:00:00,2019,10,10,2,9,1,95.0
450,2019-10-10 10:00:00,2019,10,10,2,10,1,83.0
452,2019-10-10 11:00:00,2019,10,10,2,11,1,65.9
454,2019-10-10 12:00:00,2019,10,10,2,12,2,56.9
456,2019-10-10 13:00:00,2019,10,10,2,13,2,51.0
458,2019-10-10 14:00:00,2019,10,10,2,14,2,50.2
460,2019-10-10 15:00:00,2019,10,10,2,15,2,52.2
462,2019-10-10 16:00:00,2019,10,10,2,16,2,62.1
464,2019-10-10 17:00:00,2019,10,10,2,17,2,72.0
466,2019-10-10 18:00:00,2019,10,10,2,18,3,83.0
468,2019-10-10 19:00:00,2019,10,10,2,19,3,88.0
470,2019-10-10 20:00:00,2019,10,10,2,20,3,94.0
472,2019-10-10 21:00:00,2019,10,10,2,21,3,93.9
474,2019-10-10 22:00:00,2019,10,10,2,22,3,90.0
476,2019-10-10 23:00:00,2019,10,10,2,23,3,82.0
478,2019-10-11 00:00:00,2019,10,11,2,0,0,77.0
480,2019-10-11 01:00:00,2019,10,11,2,1,0,81.2
482,2019-10-11 02:00:00,2019,10,11,2,2,0,74.0
484,2019-10-11 03:00:00,2019,10,11,2,3,0,70.0
486,2019-10-11 04:00:00,2019,10,11,2,4,0,73.0
488,2019-10-11 05:00:00,2019,10,11,2,5,0,76.0
490,2019-10-11 06:00:00,2019,10,11,2,6,1,87.0
492,2019-10-11 07:00:00,2019,10,11,2,7,1,95.9
494,2019-10-11 08:00:00,2019,10,11,2,8,1,97.9
496,2019-10-11 09:00:00,2019,10,11,2,9,1,89.0
498,2019-10-11 10:00:00,2019,10,11,2,10,1,81.2
500,2019-10-11 11:00:00,2019,10,11,2,11,1,79.7
502,2019-10-11 12:00:00,2019,10,11,2,12,2,79.5
504,2019-10-11 13:00:00,2019,10,11,2,13,2,76.1
506,2019-10-11 14:00:00,2019,10,11,2,14,2,77.5
508,2019-10-11 15:00:00,2019,10,11,2,15,2,76.4
510,2019-10-11 16:00:00,2019,10,11,2,16,2,76.3
512,2019-10-11 17:00:00,2019,10,11,2,17,2,77.8
514,2019-10-11 18:00:00,2019,10,11,2,18,3,81.1
516,2019-10-11 19:00:00,2019,10,11,2,19,3,82.0
518,2019-10-11 20:00:00,2019,10,11,2,20,3,79.0
520,2019-10-11 21:00:00,2019,10,11,2,21,3,73.0
522,2019-10-11 22:00:00,2019,10,11,2,22,3,65.0
524,2019-10-11 23:00:00,2019,10,11,2,23,3,57.6
526,2019-10-12 00:00:00,2019,10,12,2,0,0,45.7
528,2019-10-12 01:00:00,2019,10,12,2,1,0,79.8
530,2019-10-12 02:00:00,2019,10,12,2,2,0,73.6
532,2019-10-12 03:00:00,2019,10,12,2,3,0,70.6
534,2019-10-12 04:00:00,2019,10,12,2,4,0,67.6
536,2019-10-12 05:00:00,2019,10,12,2,5,0,62.6
538,2019-10-12 06:00:00,2019,10,12,2,6,1,64.6
540,2019-10-12 07:00:00,2019,10,12,2,7,1,67.6
542,2019-10-12 08:00:00,2019,10,12,2,8,1,75.7
544,2019-10-12 09:00:00,2019,10,12,2,9,1,81.8
546,2019-10-12 10:00:00,2019,10,12,2,10,1,80.0
548,2019-10-12 11:00:00,2019,10,12,2,11,1,71.1
550,2019-10-12 12:00:00,2019,10,12,2,12,2,59.2
552,2019-10-12 13:00:00,2019,10,12,2,13,2,53.0
554,2019-10-12 14:00:00,2019,10,12,2,14,2,45.2
556,2019-10-12 15:00:00,2019,10,12,2,15,2,42.2
558,2019-10-12 16:00:00,2019,10,12,2,16,2,40.9
560,2019-10-12 17:00:00,2019,10,12,2,17,2,44.8
562,2019-10-12 18:00:00,2019,10,12,2,18,3,55.7
564,2019-10-12 19:00:00,2019,10,12,2,19,3,68.3
566,2019-10-12 20:00:00,2019,10,12,2,20,3,83.3
568,2019-10-12 21:00:00,2019,10,12,2,21,3,99.7
570,2019-10-12 22:00:00,2019,10,12,2,22,3,101.1
572,2019-10-12 23:00:00,2019,10,12,2,23,3,97.9
574,2019-10-13 00:00:00,2019,10,13,2,0,0,82.8
576,2019-10-13 01:00:00,2019,10,13,2,1,0,77.7
578,2019-10-13 02:00:00,2019,10,13,2,2,0,66.6
580,2019-10-13 03:00:00,2019,10,13,2,3,0,57.5
582,2019-10-13 04:00:00,2019,10,13,2,4,0,51.6
584,2019-10-13 05:00:00,2019,10,13,2,5,0,52.9
586,2019-10-13 06:00:00,2019,10,13,2,6,1,60.8
588,2019-10-13 07:00:00,2019,10,13,2,7,1,68.3
590,2019-10-13 08:00:00,2019,10,13,2,8,1,79.3
592,2019-10-13 09:00:00,2019,10,13,2,9,1,88.2
594,2019-10-13 10:00:00,2019,10,13,2,10,1,90.9
596,2019-10-13 11:00:00,2019,10,13,2,11,1,85.1
598,2019-10-13 12:00:00,2019,10,13,2,12,2,74.5
600,2019-10-13 13:00:00,2019,10,13,2,13,2,67.8
602,2019-10-13 14:00:00,2019,10,13,2,14,2,59.9
604,2019-10-13 15:00:00,2019,10,13,2,15,2,54.9
606,2019-10-13 16:00:00,2019,10,13,2,16,2,46.3
608,2019-10-13 17:00:00,2019,10,13,2,17,2,65.0
610,2019-10-13 18:00:00,2019,10,13,2,18,3,74.8
612,2019-10-13 19:00:00,2019,10,13,2,19,3,86.4
614,2019-10-13 20:00:00,2019,10,13,2,20,3,99.7
616,2019-10-13 21:00:00,2019,10,13,2,21,3,110.6
618,2019-10-13 22:00:00,2019,10,13,2,22,3,116.3
620,2019-10-13 23:00:00,2019,10,13,2,23,3,117.7
622,2019-10-14 00:00:00,2019,10,14,2,0,0,106.9
624,2019-10-14 01:00:00,2019,10,14,2,1,0,54.4
626,2019-10-14 02:00:00,2019,10,14,2,2,0,48.9
628,2019-10-14 03:00:00,2019,10,14,2,3,0,46.0
630,2019-10-14 04:00:00,2019,10,14,2,4,0,44.0
632,2019-10-14 05:00:00,2019,10,14,2,5,0,51.0
634,2019-10-14 06:00:00,2019,10,14,2,6,1,68.0
636,2019-10-14 07:00:00,2019,10,14,2,7,1,86.8
638,2019-10-14 08:00:00,2019,10,14,2,8,1,103.5
640,2019-10-14 09:00:00,2019,10,14,2,9,1,114.6
642,2019-10-14 10:00:00,2019,10,14,2,10,1,108.2
644,2019-10-14 11:00:00,2019,10,14,2,11,1,94.6
646,2019-10-14 12:00:00,2019,10,14,2,12,2,78.2
648,2019-10-14 13:00:00,2019,10,14,2,13,2,63.6
650,2019-10-14 14:00:00,2019,10,14,2,14,2,52.5
652,2019-10-14 15:00:00,2019,10,14,2,15,2,48.3
654,2019-10-14 16:00:00,2019,10,14,2,16,2,52.1
656,2019-10-14 17:00:00,2019,10,14,2,17,2,63.1
658,2019-10-14 18:00:00,2019,10,14,2,18,3,88.6
660,2019-10-14 19:00:00,2019,10,14,2,19,3,116.2
662,2019-10-14 20:00:00,2019,10,14,2,20,3,136.0
664,2019-10-14 21:00:00,2019,10,14,2,21,3,140.2
666,2019-10-14 22:00:00,2019,10,14,2,22,3,137.1
668,2019-10-14 23:00:00,2019,10,14,2,23,3,126.8
670,2019-10-15 00:00:00,2019,10,15,2,0,0,120.2
672,2019-10-15 01:00:00,2019,10,15,2,1,0,99.9
674,2019-10-15 02:00:00,2019,10,15,2,2,0,92.8
676,2019-10-15 03:00:00,2019,10,15,2,3,0,84.3
678,2019-10-15 04:00:00,2019,10,15,2,4,0,81.2
680,2019-10-15 05:00:00,2019,10,15,2,5,0,75.1
682,2019-10-15 06:00:00,2019,10,15,2,6,1,87.2
684,2019-10-15 07:00:00,2019,10,15,2,7,1,107.4
686,2019-10-15 08:00:00,2019,10,15,2,8,1,130.9
688,2019-10-15 09:00:00,2019,10,15,2,9,1,133.7
690,2019-10-15 10:00:00,2019,10,15,2,10,1,121.8
692,2019-10-15 11:00:00,2019,10,15,2,11,1,100.8
694,2019-10-15 12:00:00,2019,10,15,2,12,2,83.7
696,2019-10-15 13:00:00,2019,10,15,2,13,2,69.4
698,2019-10-15 14:00:00,2019,10,15,2,14,2,62.3
700,2019-10-15 15:00:00,2019,10,15,2,15,2,57.6
702,2019-10-15 16:00:00,2019,10,15,2,16,2,62.6
704,2019-10-15 17:00:00,2019,10,15,2,17,2,75.8
706,2019-10-15 18:00:00,2019,10,15,2,18,3,91.6
708,2019-10-15 19:00:00,2019,10,15,2,19,3,106.3
710,2019-10-15 20:00:00,2019,10,15,2,20,3,116.9
712,2019-10-15 21:00:00,2019,10,15,2,21,3,124.5
714,2019-10-15 22:00:00,2019,10,15,2,22,3,124.6
716,2019-10-15 23:00:00,2019,10,15,2,23,3,118.6
718,2019-10-16 00:00:00,2019,10,16,2,0,0,103.7
720,2019-10-16 01:00:00,2019,10,16,2,1,0,89.0
722,2019-10-16 02:00:00,2019,10,16,2,2,0,78.8
724,2019-10-16 03:00:00,2019,10,16,2,3,0,76.7
726,2019-10-16 04:00:00,2019,10,16,2,4,0,76.8
728,2019-10-16 05:00:00,2019,10,16,2,5,0,80.5
730,2019-10-16 06:00:00,2019,10,16,2,6,1,88.3
732,2019-10-16 07:00:00,2019,10,16,2,7,1,108.5
734,2019-10-16 08:00:00,2019,10,16,2,8,1,125.4
736,2019-10-16 09:00:00,2019,10,16,2,9,1,100.3
738,2019-10-16 10:00:00,2019,10,16,2,10,1,86.0
740,2019-10-16 11:00:00,2019,10,16,2,11,1,86.1
742,2019-10-16 12:00:00,2019,10,16,2,12,2,88.3
744,2019-10-16 13:00:00,2019,10,16,2,13,2,89.0
746,2019-10-16 14:00:00,2019,10,16,2,14,2,79.5
748,2019-10-16 15:00:00,2019,10,16,2,15,2,72.3
750,2019-10-16 16:00:00,2019,10,16,2,16,2,66.1
752,2019-10-16 17:00:00,2019,10,16,2,17,2,66.0
754,2019-10-16 18:00:00,2019,10,16,2,18,3,82.3
756,2019-10-16 19:00:00,2019,10,16,2,19,3,92.1
758,2019-10-16 20:00:00,2019,10,16,2,20,3,104.9
760,2019-10-16 21:00:00,2019,10,16,2,21,3,123.6
762,2019-10-16 22:00:00,2019,10,16,2,22,3,127.6
764,2019-10-16 23:00:00,2019,10,16,2,23,3,119.8
766,2019-10-17 00:00:00,2019,10,17,2,0,0,93.7
768,2019-10-17 01:00:00,2019,10,17,2,1,0,90.2
770,2019-10-17 02:00:00,2019,10,17,2,2,0,80.8
772,2019-10-17 03:00:00,2019,10,17,2,3,0,77.8
774,2019-10-17 04:00:00,2019,10,17,2,4,0,76.8
776,2019-10-17 05:00:00,2019,10,17,2,5,0,81.8
778,2019-10-17 06:00:00,2019,10,17,2,6,1,89.8
780,2019-10-17 07:00:00,2019,10,17,2,7,1,110.8
782,2019-10-17 08:00:00,2019,10,17,2,8,1,120.8
784,2019-10-17 09:00:00,2019,10,17,2,9,1,103.9
786,2019-10-17 10:00:00,2019,10,17,2,10,1,80.8
788,2019-10-17 11:00:00,2019,10,17,2,11,1,73.3
790,2019-10-17 12:00:00,2019,10,17,2,12,2,76.5
792,2019-10-17 13:00:00,2019,10,17,2,13,2,77.9
794,2019-10-17 14:00:00,2019,10,17,2,14,2,79.7
796,2019-10-17 15:00:00,2019,10,17,2,15,2,78.3
798,2019-10-17 16:00:00,2019,10,17,2,16,2,79.1
800,2019-10-17 17:00:00,2019,10,17,2,17,2,85.0
802,2019-10-17 18:00:00,2019,10,17,2,18,3,87.9
804,2019-10-17 19:00:00,2019,10,17,2,19,3,94.8
806,2019-10-17 20:00:00,2019,10,17,2,20,3,101.9
808,2019-10-17 21:00:00,2019,10,17,2,21,3,111.9
810,2019-10-17 22:00:00,2019,10,17,2,22,3,123.9
812,2019-10-17 23:00:00,2019,10,17,2,23,3,128.8
814,2019-10-18 00:00:00,2019,10,18,2,0,0,123.8
816,2019-10-18 01:00:00,2019,10,18,2,1,0,99.0
818,2019-10-18 02:00:00,2019,10,18,2,2,0,91.8
820,2019-10-18 03:00:00,2019,10,18,2,3,0,86.8
822,2019-10-18 04:00:00,2019,10,18,2,4,0,82.8
824,2019-10-18 05:00:00,2019,10,18,2,5,0,82.8
826,2019-10-18 06:00:00,2019,10,18,2,6,1,86.8
828,2019-10-18 07:00:00,2019,10,18,2,7,1,99.8
830,2019-10-18 08:00:00,2019,10,18,2,8,1,107.8
832,2019-10-18 09:00:00,2019,10,18,2,9,1,105.8
834,2019-10-18 10:00:00,2019,10,18,2,10,1,90.9
836,2019-10-18 11:00:00,2019,10,18,2,11,1,76.0
838,2019-10-18 12:00:00,2019,10,18,2,12,2,66.1
840,2019-10-18 13:00:00,2019,10,18,2,13,2,57.9
842,2019-10-18 14:00:00,2019,10,18,2,14,2,55.1
844,2019-10-18 15:00:00,2019,10,18,2,15,2,55.9
846,2019-10-18 16:00:00,2019,10,18,2,16,2,60.8
848,2019-10-18 17:00:00,2019,10,18,2,17,2,71.8
850,2019-10-18 18:00:00,2019,10,18,2,18,3,85.7
852,2019-10-18 19:00:00,2019,10,18,2,19,3,100.8
854,2019-10-18 20:00:00,2019,10,18,2,20,3,112.7
856,2019-10-18 21:00:00,2019,10,18,2,21,3,117.7
858,2019-10-18 22:00:00,2019,10,18,2,22,3,120.7
860,2019-10-18 23:00:00,2019,10,18,2,23,3,117.7
862,2019-10-19 00:00:00,2019,10,19,2,0,0,110.6
864,2019-10-19 01:00:00,2019,10,19,2,1,0,103.6
866,2019-10-19 02:00:00,2019,10,19,2,2,0,96.7
868,2019-10-19 03:00:00,2019,10,19,2,3,0,90.7
