,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,CHEONGJU
9258,2020-09-09 04:00:00,2020,9,9,2,4,0,15
9259,2020-09-09 05:00:00,2020,9,9,2,5,0,14
9260,2020-09-09 06:00:00,2020,9,9,2,6,1,11
9261,2020-09-09 07:00:00,2020,9,9,2,7,1,14
9262,2020-09-09 08:00:00,2020,9,9,2,8,1,30
9263,2020-09-09 09:00:00,2020,9,9,2,9,1,27
9264,2020-09-09 10:00:00,2020,9,9,2,10,1,23
9265,2020-09-09 11:00:00,2020,9,9,2,11,1,21
9266,2020-09-09 12:00:00,2020,9,9,2,12,2,22
9267,2020-09-09 13:00:00,2020,9,9,2,13,2,22
9268,2020-09-09 14:00:00,2020,9,9,2,14,2,23
9269,2020-09-09 15:00:00,2020,9,9,2,15,2,27
9270,2020-09-09 16:00:00,2020,9,9,2,16,2,26
9271,2020-09-09 17:00:00,2020,9,9,2,17,2,25
9272,2020-09-09 18:00:00,2020,9,9,2,18,3,25
9273,2020-09-09 19:00:00,2020,9,9,2,19,3,25
9274,2020-09-09 20:00:00,2020,9,9,2,20,3,27
9275,2020-09-09 21:00:00,2020,9,9,2,21,3,25
9276,2020-09-09 22:00:00,2020,9,9,2,22,3,23
9277,2020-09-09 23:00:00,2020,9,9,2,23,3,22
9278,2020-09-10 00:00:00,2020,9,10,2,0,0,15
9279,2020-09-10 01:00:00,2020,9,10,2,1,0,12
9280,2020-09-10 02:00:00,2020,9,10,2,2,0,11
9281,2020-09-10 03:00:00,2020,9,10,2,3,0,11
9282,2020-09-10 04:00:00,2020,9,10,2,4,0,9
9283,2020-09-10 05:00:00,2020,9,10,2,5,0,12
9284,2020-09-10 06:00:00,2020,9,10,2,6,1,11
9285,2020-09-10 07:00:00,2020,9,10,2,7,1,16
9286,2020-09-10 08:00:00,2020,9,10,2,8,1,30
9287,2020-09-10 09:00:00,2020,9,10,2,9,1,28
9288,2020-09-10 10:00:00,2020,9,10,2,10,1,27
9289,2020-09-10 11:00:00,2020,9,10,2,11,1,26
9290,2020-09-10 12:00:00,2020,9,10,2,12,2,25
9291,2020-09-10 13:00:00,2020,9,10,2,13,2,25
9292,2020-09-10 14:00:00,2020,9,10,2,14,2,27
9293,2020-09-10 15:00:00,2020,9,10,2,15,2,23
9294,2020-09-10 16:00:00,2020,9,10,2,16,2,20
9295,2020-09-10 17:00:00,2020,9,10,2,17,2,20
9296,2020-09-10 18:00:00,2020,9,10,2,18,3,21
9297,2020-09-10 19:00:00,2020,9,10,2,19,3,24
9298,2020-09-10 20:00:00,2020,9,10,2,20,3,28
9299,2020-09-10 21:00:00,2020,9,10,2,21,3,23
9300,2020-09-10 22:00:00,2020,9,10,2,22,3,22
9301,2020-09-10 23:00:00,2020,9,10,2,23,3,20
9302,2020-09-11 00:00:00,2020,9,11,2,0,0,16
9303,2020-09-11 01:00:00,2020,9,11,2,1,0,14
9304,2020-09-11 02:00:00,2020,9,11,2,2,0,10
9305,2020-09-11 03:00:00,2020,9,11,2,3,0,11
9306,2020-09-11 04:00:00,2020,9,11,2,4,0,13
9307,2020-09-11 05:00:00,2020,9,11,2,5,0,10
9308,2020-09-11 06:00:00,2020,9,11,2,6,1,11
9309,2020-09-11 07:00:00,2020,9,11,2,7,1,18
9310,2020-09-11 08:00:00,2020,9,11,2,8,1,24
9311,2020-09-11 09:00:00,2020,9,11,2,9,1,22
9312,2020-09-11 10:00:00,2020,9,11,2,10,1,22
9313,2020-09-11 11:00:00,2020,9,11,2,11,1,26
9314,2020-09-11 12:00:00,2020,9,11,2,12,2,27
9315,2020-09-11 13:00:00,2020,9,11,2,13,2,29
9316,2020-09-11 14:00:00,2020,9,11,2,14,2,36
9317,2020-09-11 15:00:00,2020,9,11,2,15,2,31
9318,2020-09-11 16:00:00,2020,9,11,2,16,2,32
9319,2020-09-11 17:00:00,2020,9,11,2,17,2,30
9320,2020-09-11 18:00:00,2020,9,11,2,18,3,27
9321,2020-09-11 19:00:00,2020,9,11,2,19,3,30
9322,2020-09-11 20:00:00,2020,9,11,2,20,3,35
9323,2020-09-11 21:00:00,2020,9,11,2,21,3,22
9324,2020-09-11 22:00:00,2020,9,11,2,22,3,20
9325,2020-09-11 23:00:00,2020,9,11,2,23,3,21
9326,2020-09-12 00:00:00,2020,9,12,2,0,0,15
9327,2020-09-12 01:00:00,2020,9,12,2,1,0,14
9328,2020-09-12 02:00:00,2020,9,12,2,2,0,16
9329,2020-09-12 03:00:00,2020,9,12,2,3,0,14
9330,2020-09-12 04:00:00,2020,9,12,2,4,0,14
9331,2020-09-12 05:00:00,2020,9,12,2,5,0,16
9332,2020-09-12 06:00:00,2020,9,12,2,6,1,17
9333,2020-09-12 07:00:00,2020,9,12,2,7,1,18
9334,2020-09-12 08:00:00,2020,9,12,2,8,1,14
9335,2020-09-12 09:00:00,2020,9,12,2,9,1,17
9336,2020-09-12 10:00:00,2020,9,12,2,10,1,16
9337,2020-09-12 11:00:00,2020,9,12,2,11,1,16
9338,2020-09-12 12:00:00,2020,9,12,2,12,2,16
9339,2020-09-12 13:00:00,2020,9,12,2,13,2,20
9340,2020-09-12 14:00:00,2020,9,12,2,14,2,21
9341,2020-09-12 15:00:00,2020,9,12,2,15,2,23
9342,2020-09-12 16:00:00,2020,9,12,2,16,2,25
9343,2020-09-12 17:00:00,2020,9,12,2,17,2,24
9344,2020-09-12 18:00:00,2020,9,12,2,18,3,22
9345,2020-09-12 19:00:00,2020,9,12,2,19,3,22
9346,2020-09-12 20:00:00,2020,9,12,2,20,3,28
9347,2020-09-12 21:00:00,2020,9,12,2,21,3,23
9348,2020-09-12 22:00:00,2020,9,12,2,22,3,22
9349,2020-09-12 23:00:00,2020,9,12,2,23,3,21
9350,2020-09-13 00:00:00,2020,9,13,2,0,0,19
9351,2020-09-13 01:00:00,2020,9,13,2,1,0,17
9352,2020-09-13 02:00:00,2020,9,13,2,2,0,13
9353,2020-09-13 03:00:00,2020,9,13,2,3,0,15
9354,2020-09-13 04:00:00,2020,9,13,2,4,0,11
9355,2020-09-13 05:00:00,2020,9,13,2,5,0,11
9356,2020-09-13 06:00:00,2020,9,13,2,6,1,11
9357,2020-09-13 07:00:00,2020,9,13,2,7,1,13
9358,2020-09-13 08:00:00,2020,9,13,2,8,1,16
9359,2020-09-13 09:00:00,2020,9,13,2,9,1,19
9360,2020-09-13 10:00:00,2020,9,13,2,10,1,23
9361,2020-09-13 11:00:00,2020,9,13,2,11,1,26
9362,2020-09-13 12:00:00,2020,9,13,2,12,2,23
9363,2020-09-13 13:00:00,2020,9,13,2,13,2,25
9364,2020-09-13 14:00:00,2020,9,13,2,14,2,25
9365,2020-09-13 15:00:00,2020,9,13,2,15,2,22
9366,2020-09-13 16:00:00,2020,9,13,2,16,2,20
9367,2020-09-13 17:00:00,2020,9,13,2,17,2,19
9368,2020-09-13 18:00:00,2020,9,13,2,18,3,20
9369,2020-09-13 19:00:00,2020,9,13,2,19,3,25
9370,2020-09-13 20:00:00,2020,9,13,2,20,3,40
9371,2020-09-13 21:00:00,2020,9,13,2,21,3,22
9372,2020-09-13 22:00:00,2020,9,13,2,22,3,21
9373,2020-09-13 23:00:00,2020,9,13,2,23,3,20
9374,2020-09-14 00:00:00,2020,9,14,2,0,0,18
9375,2020-09-14 01:00:00,2020,9,14,2,1,0,19
9376,2020-09-14 02:00:00,2020,9,14,2,2,0,15
9377,2020-09-14 03:00:00,2020,9,14,2,3,0,19
9378,2020-09-14 04:00:00,2020,9,14,2,4,0,14
9379,2020-09-14 05:00:00,2020,9,14,2,5,0,15
9380,2020-09-14 06:00:00,2020,9,14,2,6,1,15
9381,2020-09-14 07:00:00,2020,9,14,2,7,1,20
9382,2020-09-14 08:00:00,2020,9,14,2,8,1,40
9383,2020-09-14 09:00:00,2020,9,14,2,9,1,28
9384,2020-09-14 10:00:00,2020,9,14,2,10,1,22
9385,2020-09-14 11:00:00,2020,9,14,2,11,1,20
9386,2020-09-14 12:00:00,2020,9,14,2,12,2,23
9387,2020-09-14 13:00:00,2020,9,14,2,13,2,23
9388,2020-09-14 14:00:00,2020,9,14,2,14,2,23
9389,2020-09-14 15:00:00,2020,9,14,2,15,2,28
9390,2020-09-14 16:00:00,2020,9,14,2,16,2,26
9391,2020-09-14 17:00:00,2020,9,14,2,17,2,24
9392,2020-09-14 18:00:00,2020,9,14,2,18,3,24
9393,2020-09-14 19:00:00,2020,9,14,2,19,3,25
9394,2020-09-14 20:00:00,2020,9,14,2,20,3,29
9395,2020-09-14 21:00:00,2020,9,14,2,21,3,31
9396,2020-09-14 22:00:00,2020,9,14,2,22,3,25
9397,2020-09-14 23:00:00,2020,9,14,2,23,3,23
9398,2020-09-15 00:00:00,2020,9,15,2,0,0,16
9399,2020-09-15 01:00:00,2020,9,15,2,1,0,15
9400,2020-09-15 02:00:00,2020,9,15,2,2,0,12
9401,2020-09-15 03:00:00,2020,9,15,2,3,0,10
9402,2020-09-15 04:00:00,2020,9,15,2,4,0,11
9403,2020-09-15 05:00:00,2020,9,15,2,5,0,11
9404,2020-09-15 06:00:00,2020,9,15,2,6,1,13
9405,2020-09-15 07:00:00,2020,9,15,2,7,1,18
9406,2020-09-15 08:00:00,2020,9,15,2,8,1,30
9407,2020-09-15 09:00:00,2020,9,15,2,9,1,22
9408,2020-09-15 10:00:00,2020,9,15,2,10,1,19
9409,2020-09-15 11:00:00,2020,9,15,2,11,1,20
9410,2020-09-15 12:00:00,2020,9,15,2,12,2,25
9411,2020-09-15 13:00:00,2020,9,15,2,13,2,24
9412,2020-09-15 14:00:00,2020,9,15,2,14,2,28
9413,2020-09-15 15:00:00,2020,9,15,2,15,2,28
9414,2020-09-15 16:00:00,2020,9,15,2,16,2,29
9415,2020-09-15 17:00:00,2020,9,15,2,17,2,28
9416,2020-09-15 18:00:00,2020,9,15,2,18,3,24
9417,2020-09-15 19:00:00,2020,9,15,2,19,3,25
9418,2020-09-15 20:00:00,2020,9,15,2,20,3,28
9419,2020-09-15 21:00:00,2020,9,15,2,21,3,25
9420,2020-09-15 22:00:00,2020,9,15,2,22,3,24
9421,2020-09-15 23:00:00,2020,9,15,2,23,3,24
9422,2020-09-16 00:00:00,2020,9,16,2,0,0,17
9423,2020-09-16 01:00:00,2020,9,16,2,1,0,16
9424,2020-09-16 02:00:00,2020,9,16,2,2,0,12
9425,2020-09-16 03:00:00,2020,9,16,2,3,0,11
9426,2020-09-16 04:00:00,2020,9,16,2,4,0,12
9427,2020-09-16 05:00:00,2020,9,16,2,5,0,12
9428,2020-09-16 06:00:00,2020,9,16,2,6,1,14
9429,2020-09-16 07:00:00,2020,9,16,2,7,1,18
9430,2020-09-16 08:00:00,2020,9,16,2,8,1,27
9431,2020-09-16 09:00:00,2020,9,16,2,9,1,23
9432,2020-09-16 10:00:00,2020,9,16,2,10,1,19
9433,2020-09-16 11:00:00,2020,9,16,2,11,1,19
9434,2020-09-16 12:00:00,2020,9,16,2,12,2,18
9435,2020-09-16 13:00:00,2020,9,16,2,13,2,16
9436,2020-09-16 14:00:00,2020,9,16,2,14,2,17
9437,2020-09-16 15:00:00,2020,9,16,2,15,2,23
9438,2020-09-16 16:00:00,2020,9,16,2,16,2,24
9439,2020-09-16 17:00:00,2020,9,16,2,17,2,22
9440,2020-09-16 18:00:00,2020,9,16,2,18,3,27
9441,2020-09-16 19:00:00,2020,9,16,2,19,3,26
9442,2020-09-16 20:00:00,2020,9,16,2,20,3,29
9443,2020-09-16 21:00:00,2020,9,16,2,21,3,28
9444,2020-09-16 22:00:00,2020,9,16,2,22,3,30
9445,2020-09-16 23:00:00,2020,9,16,2,23,3,29
9446,2020-09-17 00:00:00,2020,9,17,2,0,0,24
9447,2020-09-17 01:00:00,2020,9,17,2,1,0,19
9448,2020-09-17 02:00:00,2020,9,17,2,2,0,15
9449,2020-09-17 03:00:00,2020,9,17,2,3,0,16
9450,2020-09-17 04:00:00,2020,9,17,2,4,0,16
9451,2020-09-17 05:00:00,2020,9,17,2,5,0,16
9452,2020-09-17 06:00:00,2020,9,17,2,6,1,18
9453,2020-09-17 07:00:00,2020,9,17,2,7,1,21
9454,2020-09-17 08:00:00,2020,9,17,2,8,1,34
9455,2020-09-17 09:00:00,2020,9,17,2,9,1,26
9456,2020-09-17 10:00:00,2020,9,17,2,10,1,25
9457,2020-09-17 11:00:00,2020,9,17,2,11,1,19
9458,2020-09-17 12:00:00,2020,9,17,2,12,2,18
9459,2020-09-17 13:00:00,2020,9,17,2,13,2,20
9460,2020-09-17 14:00:00,2020,9,17,2,14,2,21
9461,2020-09-17 15:00:00,2020,9,17,2,15,2,22
9462,2020-09-17 16:00:00,2020,9,17,2,16,2,24
9463,2020-09-17 17:00:00,2020,9,17,2,17,2,25
9464,2020-09-17 18:00:00,2020,9,17,2,18,3,27
9465,2020-09-17 19:00:00,2020,9,17,2,19,3,32
9466,2020-09-17 20:00:00,2020,9,17,2,20,3,35
9467,2020-09-17 21:00:00,2020,9,17,2,21,3,31
9468,2020-09-17 22:00:00,2020,9,17,2,22,3,24
9469,2020-09-17 23:00:00,2020,9,17,2,23,3,19
9470,2020-09-18 00:00:00,2020,9,18,2,0,0,16
9471,2020-09-18 01:00:00,2020,9,18,2,1,0,14
9472,2020-09-18 02:00:00,2020,9,18,2,2,0,15
9473,2020-09-18 03:00:00,2020,9,18,2,3,0,15
9474,2020-09-18 04:00:00,2020,9,18,2,4,0,14
9475,2020-09-18 05:00:00,2020,9,18,2,5,0,16
9476,2020-09-18 06:00:00,2020,9,18,2,6,1,16
9477,2020-09-18 07:00:00,2020,9,18,2,7,1,17
9478,2020-09-18 08:00:00,2020,9,18,2,8,1,34
9479,2020-09-18 09:00:00,2020,9,18,2,9,1,26
9480,2020-09-18 10:00:00,2020,9,18,2,10,1,19
9481,2020-09-18 11:00:00,2020,9,18,2,11,1,20
9482,2020-09-18 12:00:00,2020,9,18,2,12,2,19
9483,2020-09-18 13:00:00,2020,9,18,2,13,2,21
9484,2020-09-18 14:00:00,2020,9,18,2,14,2,23
9485,2020-09-18 15:00:00,2020,9,18,2,15,2,24
9486,2020-09-18 16:00:00,2020,9,18,2,16,2,23
9487,2020-09-18 17:00:00,2020,9,18,2,17,2,24
9488,2020-09-18 18:00:00,2020,9,18,2,18,3,27
9489,2020-09-18 19:00:00,2020,9,18,2,19,3,26
9490,2020-09-18 20:00:00,2020,9,18,2,20,3,30
9491,2020-09-18 21:00:00,2020,9,18,2,21,3,23
9492,2020-09-18 22:00:00,2020,9,18,2,22,3,24
9493,2020-09-18 23:00:00,2020,9,18,2,23,3,22
9494,2020-09-19 00:00:00,2020,9,19,2,0,0,17
9495,2020-09-19 01:00:00,2020,9,19,2,1,0,16
9496,2020-09-19 02:00:00,2020,9,19,2,2,0,14
9497,2020-09-19 03:00:00,2020,9,19,2,3,0,13
9498,2020-09-19 04:00:00,2020,9,19,2,4,0,11
9499,2020-09-19 05:00:00,2020,9,19,2,5,0,12
9500,2020-09-19 06:00:00,2020,9,19,2,6,1,13
9501,2020-09-19 07:00:00,2020,9,19,2,7,1,17
9502,2020-09-19 08:00:00,2020,9,19,2,8,1,22
9503,2020-09-19 09:00:00,2020,9,19,2,9,1,22
9504,2020-09-19 10:00:00,2020,9,19,2,10,1,25
9505,2020-09-19 11:00:00,2020,9,19,2,11,1,26
9506,2020-09-19 12:00:00,2020,9,19,2,12,2,23
9507,2020-09-19 13:00:00,2020,9,19,2,13,2,22
9508,2020-09-19 14:00:00,2020,9,19,2,14,2,23
9509,2020-09-19 15:00:00,2020,9,19,2,15,2,25
9510,2020-09-19 16:00:00,2020,9,19,2,16,2,24
9511,2020-09-19 17:00:00,2020,9,19,2,17,2,23
9512,2020-09-19 18:00:00,2020,9,19,2,18,3,27
9513,2020-09-19 19:00:00,2020,9,19,2,19,3,27
9514,2020-09-19 20:00:00,2020,9,19,2,20,3,25
9515,2020-09-19 21:00:00,2020,9,19,2,21,3,24
9516,2020-09-19 22:00:00,2020,9,19,2,22,3,25
9517,2020-09-19 23:00:00,2020,9,19,2,23,3,19
9518,2020-09-20 00:00:00,2020,9,20,2,0,0,19
9519,2020-09-20 01:00:00,2020,9,20,2,1,0,16
9520,2020-09-20 02:00:00,2020,9,20,2,2,0,14
9521,2020-09-20 03:00:00,2020,9,20,2,3,0,13
9522,2020-09-20 04:00:00,2020,9,20,2,4,0,14
9523,2020-09-20 05:00:00,2020,9,20,2,5,0,13
9524,2020-09-20 06:00:00,2020,9,20,2,6,1,14
9525,2020-09-20 07:00:00,2020,9,20,2,7,1,15
9526,2020-09-20 08:00:00,2020,9,20,2,8,1,17
9527,2020-09-20 09:00:00,2020,9,20,2,9,1,21
9528,2020-09-20 10:00:00,2020,9,20,2,10,1,23
9529,2020-09-20 11:00:00,2020,9,20,2,11,1,23
9530,2020-09-20 12:00:00,2020,9,20,2,12,2,25
9531,2020-09-20 13:00:00,2020,9,20,2,13,2,24
9532,2020-09-20 14:00:00,2020,9,20,2,14,2,24
9533,2020-09-20 15:00:00,2020,9,20,2,15,2,25
9534,2020-09-20 16:00:00,2020,9,20,2,16,2,25
9535,2020-09-20 17:00:00,2020,9,20,2,17,2,27
9536,2020-09-20 18:00:00,2020,9,20,2,18,3,30
9537,2020-09-20 19:00:00,2020,9,20,2,19,3,33
9538,2020-09-20 20:00:00,2020,9,20,2,20,3,31
9539,2020-09-20 21:00:00,2020,9,20,2,21,3,29
9540,2020-09-20 22:00:00,2020,9,20,2,22,3,29
9541,2020-09-20 23:00:00,2020,9,20,2,23,3,24
9542,2020-09-21 00:00:00,2020,9,21,2,0,0,20
9543,2020-09-21 01:00:00,2020,9,21,2,1,0,16
9544,2020-09-21 02:00:00,2020,9,21,2,2,0,16
9545,2020-09-21 03:00:00,2020,9,21,2,3,0,14
9546,2020-09-21 04:00:00,2020,9,21,2,4,0,13
9547,2020-09-21 05:00:00,2020,9,21,2,5,0,15
9548,2020-09-21 06:00:00,2020,9,21,2,6,1,15
9549,2020-09-21 07:00:00,2020,9,21,2,7,1,21
9550,2020-09-21 08:00:00,2020,9,21,2,8,1,34
9551,2020-09-21 09:00:00,2020,9,21,2,9,1,27
9552,2020-09-21 10:00:00,2020,9,21,2,10,1,23
9553,2020-09-21 11:00:00,2020,9,21,2,11,1,19
9554,2020-09-21 12:00:00,2020,9,21,2,12,2,22
9555,2020-09-21 13:00:00,2020,9,21,2,13,2,24
9556,2020-09-21 14:00:00,2020,9,21,2,14,2,24
9557,2020-09-21 15:00:00,2020,9,21,2,15,2,23
9558,2020-09-21 16:00:00,2020,9,21,2,16,2,23
9559,2020-09-21 17:00:00,2020,9,21,2,17,2,24
9560,2020-09-21 18:00:00,2020,9,21,2,18,3,25
9561,2020-09-21 19:00:00,2020,9,21,2,19,3,29
9562,2020-09-21 20:00:00,2020,9,21,2,20,3,28
9563,2020-09-21 21:00:00,2020,9,21,2,21,3,29
9564,2020-09-21 22:00:00,2020,9,21,2,22,3,34
9565,2020-09-21 23:00:00,2020,9,21,2,23,3,33
9566,2020-09-22 00:00:00,2020,9,22,2,0,0,25
9567,2020-09-22 01:00:00,2020,9,22,2,1,0,22
9568,2020-09-22 02:00:00,2020,9,22,2,2,0,22
9569,2020-09-22 03:00:00,2020,9,22,2,3,0,19
9570,2020-09-22 04:00:00,2020,9,22,2,4,0,18
9571,2020-09-22 05:00:00,2020,9,22,2,5,0,19
9572,2020-09-22 06:00:00,2020,9,22,2,6,1,21
9573,2020-09-22 07:00:00,2020,9,22,2,7,1,20
9574,2020-09-22 08:00:00,2020,9,22,2,8,1,38
9575,2020-09-22 09:00:00,2020,9,22,2,9,1,32
9576,2020-09-22 10:00:00,2020,9,22,2,10,1,25
9577,2020-09-22 11:00:00,2020,9,22,2,11,1,21
9578,2020-09-22 12:00:00,2020,9,22,2,12,2,21
9579,2020-09-22 13:00:00,2020,9,22,2,13,2,21
9580,2020-09-22 14:00:00,2020,9,22,2,14,2,19
9581,2020-09-22 15:00:00,2020,9,22,2,15,2,19
9582,2020-09-22 16:00:00,2020,9,22,2,16,2,19
9583,2020-09-22 17:00:00,2020,9,22,2,17,2,21
9584,2020-09-22 18:00:00,2020,9,22,2,18,3,20
9585,2020-09-22 19:00:00,2020,9,22,2,19,3,24
9586,2020-09-22 20:00:00,2020,9,22,2,20,3,30
9587,2020-09-22 21:00:00,2020,9,22,2,21,3,32
9588,2020-09-22 22:00:00,2020,9,22,2,22,3,35
9589,2020-09-22 23:00:00,2020,9,22,2,23,3,34
9590,2020-09-23 00:00:00,2020,9,23,2,0,0,35
9591,2020-09-23 01:00:00,2020,9,23,2,1,0,31
9592,2020-09-23 02:00:00,2020,9,23,2,2,0,17
9593,2020-09-23 03:00:00,2020,9,23,2,3,0,16
9594,2020-09-23 04:00:00,2020,9,23,2,4,0,17
9595,2020-09-23 05:00:00,2020,9,23,2,5,0,17
9596,2020-09-23 06:00:00,2020,9,23,2,6,1,16
9597,2020-09-23 07:00:00,2020,9,23,2,7,1,22
9598,2020-09-23 08:00:00,2020,9,23,2,8,1,34
9599,2020-09-23 09:00:00,2020,9,23,2,9,1,25
9600,2020-09-23 10:00:00,2020,9,23,2,10,1,23
9601,2020-09-23 11:00:00,2020,9,23,2,11,1,22
9602,2020-09-23 12:00:00,2020,9,23,2,12,2,18
9603,2020-09-23 13:00:00,2020,9,23,2,13,2,18
9604,2020-09-23 14:00:00,2020,9,23,2,14,2,20
9605,2020-09-23 15:00:00,2020,9,23,2,15,2,22
9606,2020-09-23 16:00:00,2020,9,23,2,16,2,22
9607,2020-09-23 17:00:00,2020,9,23,2,17,2,23
9608,2020-09-23 18:00:00,2020,9,23,2,18,3,31
9609,2020-09-23 19:00:00,2020,9,23,2,19,3,33
9610,2020-09-23 20:00:00,2020,9,23,2,20,3,35
9611,2020-09-23 21:00:00,2020,9,23,2,21,3,35
9612,2020-09-23 22:00:00,2020,9,23,2,22,3,32
9613,2020-09-23 23:00:00,2020,9,23,2,23,3,27
9614,2020-09-24 00:00:00,2020,9,24,2,0,0,20
9615,2020-09-24 01:00:00,2020,9,24,2,1,0,17
9616,2020-09-24 02:00:00,2020,9,24,2,2,0,17
9617,2020-09-24 03:00:00,2020,9,24,2,3,0,15
9618,2020-09-24 04:00:00,2020,9,24,2,4,0,15
9619,2020-09-24 05:00:00,2020,9,24,2,5,0,16
9620,2020-09-24 06:00:00,2020,9,24,2,6,1,15
9621,2020-09-24 07:00:00,2020,9,24,2,7,1,20
9622,2020-09-24 08:00:00,2020,9,24,2,8,1,36
9623,2020-09-24 09:00:00,2020,9,24,2,9,1,32
9624,2020-09-24 10:00:00,2020,9,24,2,10,1,24
9625,2020-09-24 11:00:00,2020,9,24,2,11,1,22
9626,2020-09-24 12:00:00,2020,9,24,2,12,2,19
9627,2020-09-24 13:00:00,2020,9,24,2,13,2,22
9628,2020-09-24 14:00:00,2020,9,24,2,14,2,22
9629,2020-09-24 15:00:00,2020,9,24,2,15,2,22
9630,2020-09-24 16:00:00,2020,9,24,2,16,2,23
9631,2020-09-24 17:00:00,2020,9,24,2,17,2,25
9632,2020-09-24 18:00:00,2020,9,24,2,18,3,26
9633,2020-09-24 19:00:00,2020,9,24,2,19,3,32
9634,2020-09-24 20:00:00,2020,9,24,2,20,3,34
9635,2020-09-24 21:00:00,2020,9,24,2,21,3,33
9636,2020-09-24 22:00:00,2020,9,24,2,22,3,31
9637,2020-09-24 23:00:00,2020,9,24,2,23,3,34
9638,2020-09-25 00:00:00,2020,9,25,2,0,0,28
9639,2020-09-25 01:00:00,2020,9,25,2,1,0,26
9640,2020-09-25 02:00:00,2020,9,25,2,2,0,20
9641,2020-09-25 03:00:00,2020,9,25,2,3,0,20
9642,2020-09-25 04:00:00,2020,9,25,2,4,0,20
9643,2020-09-25 05:00:00,2020,9,25,2,5,0,21
9644,2020-09-25 06:00:00,2020,9,25,2,6,1,22
9645,2020-09-25 07:00:00,2020,9,25,2,7,1,27
9646,2020-09-25 08:00:00,2020,9,25,2,8,1,42
9647,2020-09-25 09:00:00,2020,9,25,2,9,1,37
9648,2020-09-25 10:00:00,2020,9,25,2,10,1,32
9649,2020-09-25 11:00:00,2020,9,25,2,11,1,29
9650,2020-09-25 12:00:00,2020,9,25,2,12,2,23
9651,2020-09-25 13:00:00,2020,9,25,2,13,2,23
9652,2020-09-25 14:00:00,2020,9,25,2,14,2,26
9653,2020-09-25 15:00:00,2020,9,25,2,15,2,24
9654,2020-09-25 16:00:00,2020,9,25,2,16,2,24
9655,2020-09-25 17:00:00,2020,9,25,2,17,2,23
9656,2020-09-25 18:00:00,2020,9,25,2,18,3,24
9657,2020-09-25 19:00:00,2020,9,25,2,19,3,26
9658,2020-09-25 20:00:00,2020,9,25,2,20,3,31
9659,2020-09-25 21:00:00,2020,9,25,2,21,3,35
9660,2020-09-25 22:00:00,2020,9,25,2,22,3,26
9661,2020-09-25 23:00:00,2020,9,25,2,23,3,26
9662,2020-09-26 00:00:00,2020,9,26,2,0,0,28
9663,2020-09-26 01:00:00,2020,9,26,2,1,0,26
9664,2020-09-26 02:00:00,2020,9,26,2,2,0,24
9665,2020-09-26 03:00:00,2020,9,26,2,3,0,22
9666,2020-09-26 04:00:00,2020,9,26,2,4,0,21
9667,2020-09-26 05:00:00,2020,9,26,2,5,0,21
9668,2020-09-26 06:00:00,2020,9,26,2,6,1,21
9669,2020-09-26 07:00:00,2020,9,26,2,7,1,22
9670,2020-09-26 08:00:00,2020,9,26,2,8,1,27
9671,2020-09-26 09:00:00,2020,9,26,2,9,1,37
9672,2020-09-26 10:00:00,2020,9,26,2,10,1,29
9673,2020-09-26 11:00:00,2020,9,26,2,11,1,26
9674,2020-09-26 12:00:00,2020,9,26,2,12,2,26
9675,2020-09-26 13:00:00,2020,9,26,2,13,2,26
9676,2020-09-26 14:00:00,2020,9,26,2,14,2,28
9677,2020-09-26 15:00:00,2020,9,26,2,15,2,28
9678,2020-09-26 16:00:00,2020,9,26,2,16,2,26
9679,2020-09-26 17:00:00,2020,9,26,2,17,2,25
9680,2020-09-26 18:00:00,2020,9,26,2,18,3,25
9681,2020-09-26 19:00:00,2020,9,26,2,19,3,26
9682,2020-09-26 20:00:00,2020,9,26,2,20,3,34
9683,2020-09-26 21:00:00,2020,9,26,2,21,3,36
9684,2020-09-26 22:00:00,2020,9,26,2,22,3,34
9685,2020-09-26 23:00:00,2020,9,26,2,23,3,30
9686,2020-09-27 00:00:00,2020,9,27,2,0,0,28
9687,2020-09-27 01:00:00,2020,9,27,2,1,0,24
9688,2020-09-27 02:00:00,2020,9,27,2,2,0,19
9689,2020-09-27 03:00:00,2020,9,27,2,3,0,18
9690,2020-09-27 04:00:00,2020,9,27,2,4,0,16
9691,2020-09-27 05:00:00,2020,9,27,2,5,0,17
9692,2020-09-27 06:00:00,2020,9,27,2,6,1,19
9693,2020-09-27 07:00:00,2020,9,27,2,7,1,21
9694,2020-09-27 08:00:00,2020,9,27,2,8,1,22
9695,2020-09-27 09:00:00,2020,9,27,2,9,1,25
9696,2020-09-27 10:00:00,2020,9,27,2,10,1,30
9697,2020-09-27 11:00:00,2020,9,27,2,11,1,28
9698,2020-09-27 12:00:00,2020,9,27,2,12,2,24
9699,2020-09-27 13:00:00,2020,9,27,2,13,2,24
9700,2020-09-27 14:00:00,2020,9,27,2,14,2,26
9701,2020-09-27 15:00:00,2020,9,27,2,15,2,22
9702,2020-09-27 16:00:00,2020,9,27,2,16,2,22
9703,2020-09-27 17:00:00,2020,9,27,2,17,2,25
9704,2020-09-27 18:00:00,2020,9,27,2,18,3,28
9705,2020-09-27 19:00:00,2020,9,27,2,19,3,32
9706,2020-09-27 20:00:00,2020,9,27,2,20,3,35
9707,2020-09-27 21:00:00,2020,9,27,2,21,3,40
