,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,CHEONGJU
182,2019-10-04 20:00:00,2019,10,4,2,20,3,25
184,2019-10-04 21:00:00,2019,10,4,2,21,3,25
186,2019-10-04 22:00:00,2019,10,4,2,22,3,27
188,2019-10-04 23:00:00,2019,10,4,2,23,3,24
190,2019-10-05 00:00:00,2019,10,5,2,0,0,22
192,2019-10-05 01:00:00,2019,10,5,2,1,0,18
194,2019-10-05 02:00:00,2019,10,5,2,2,0,19
196,2019-10-05 03:00:00,2019,10,5,2,3,0,15
198,2019-10-05 04:00:00,2019,10,5,2,4,0,12
200,2019-10-05 05:00:00,2019,10,5,2,5,0,16
202,2019-10-05 06:00:00,2019,10,5,2,6,1,15
204,2019-10-05 07:00:00,2019,10,5,2,7,1,18
206,2019-10-05 08:00:00,2019,10,5,2,8,1,26
208,2019-10-05 09:00:00,2019,10,5,2,9,1,32
210,2019-10-05 10:00:00,2019,10,5,2,10,1,33
212,2019-10-05 11:00:00,2019,10,5,2,11,1,27
214,2019-10-05 12:00:00,2019,10,5,2,12,2,25
216,2019-10-05 13:00:00,2019,10,5,2,13,2,24
218,2019-10-05 14:00:00,2019,10,5,2,14,2,23
220,2019-10-05 15:00:00,2019,10,5,2,15,2,21
222,2019-10-05 16:00:00,2019,10,5,2,16,2,21
224,2019-10-05 17:00:00,2019,10,5,2,17,2,24
226,2019-10-05 18:00:00,2019,10,5,2,18,3,29
228,2019-10-05 19:00:00,2019,10,5,2,19,3,27
230,2019-10-05 20:00:00,2019,10,5,2,20,3,35
232,2019-10-05 21:00:00,2019,10,5,2,21,3,33
234,2019-10-05 22:00:00,2019,10,5,2,22,3,31
236,2019-10-05 23:00:00,2019,10,5,2,23,3,30
238,2019-10-06 00:00:00,2019,10,6,2,0,0,29
240,2019-10-06 01:00:00,2019,10,6,2,1,0,19
242,2019-10-06 02:00:00,2019,10,6,2,2,0,19
244,2019-10-06 03:00:00,2019,10,6,2,3,0,21
246,2019-10-06 04:00:00,2019,10,6,2,4,0,19
248,2019-10-06 05:00:00,2019,10,6,2,5,0,19
250,2019-10-06 06:00:00,2019,10,6,2,6,1,19
252,2019-10-06 07:00:00,2019,10,6,2,7,1,19
254,2019-10-06 08:00:00,2019,10,6,2,8,1,18
256,2019-10-06 09:00:00,2019,10,6,2,9,1,24
258,2019-10-06 10:00:00,2019,10,6,2,10,1,31
260,2019-10-06 11:00:00,2019,10,6,2,11,1,25
262,2019-10-06 12:00:00,2019,10,6,2,12,2,26
264,2019-10-06 13:00:00,2019,10,6,2,13,2,25
266,2019-10-06 14:00:00,2019,10,6,2,14,2,24
268,2019-10-06 15:00:00,2019,10,6,2,15,2,25
270,2019-10-06 16:00:00,2019,10,6,2,16,2,26
272,2019-10-06 17:00:00,2019,10,6,2,17,2,22
274,2019-10-06 18:00:00,2019,10,6,2,18,3,28
276,2019-10-06 19:00:00,2019,10,6,2,19,3,29
278,2019-10-06 20:00:00,2019,10,6,2,20,3,38
280,2019-10-06 21:00:00,2019,10,6,2,21,3,40
282,2019-10-06 22:00:00,2019,10,6,2,22,3,35
284,2019-10-06 23:00:00,2019,10,6,2,23,3,34
286,2019-10-07 00:00:00,2019,10,7,2,0,0,23
288,2019-10-07 01:00:00,2019,10,7,2,1,0,26
290,2019-10-07 02:00:00,2019,10,7,2,2,0,23
292,2019-10-07 03:00:00,2019,10,7,2,3,0,19
294,2019-10-07 04:00:00,2019,10,7,2,4,0,16
