,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,YANGSAN
182,2019-10-04 20:00:00,2019,10,4,2,20,3,17
184,2019-10-04 21:00:00,2019,10,4,2,21,3,17
186,2019-10-04 22:00:00,2019,10,4,2,22,3,17
188,2019-10-04 23:00:00,2019,10,4,2,23,3,16
190,2019-10-05 00:00:00,2019,10,5,2,0,0,15
192,2019-10-05 01:00:00,2019,10,5,2,1,0,10
194,2019-10-05 02:00:00,2019,10,5,2,2,0,10
196,2019-10-05 03:00:00,2019,10,5,2,3,0,7
198,2019-10-05 04:00:00,2019,10,5,2,4,0,6
200,2019-10-05 05:00:00,2019,10,5,2,5,0,7
202,2019-10-05 06:00:00,2019,10,5,2,6,1,6
204,2019-10-05 07:00:00,2019,10,5,2,7,1,11
206,2019-10-05 08:00:00,2019,10,5,2,8,1,10
208,2019-10-05 09:00:00,2019,10,5,2,9,1,14
210,2019-10-05 10:00:00,2019,10,5,2,10,1,16
212,2019-10-05 11:00:00,2019,10,5,2,11,1,16
214,2019-10-05 12:00:00,2019,10,5,2,12,2,14
216,2019-10-05 13:00:00,2019,10,5,2,13,2,13
218,2019-10-05 14:00:00,2019,10,5,2,14,2,13
220,2019-10-05 15:00:00,2019,10,5,2,15,2,10
222,2019-10-05 16:00:00,2019,10,5,2,16,2,11
224,2019-10-05 17:00:00,2019,10,5,2,17,2,13
226,2019-10-05 18:00:00,2019,10,5,2,18,3,14
228,2019-10-05 19:00:00,2019,10,5,2,19,3,14
230,2019-10-05 20:00:00,2019,10,5,2,20,3,15
232,2019-10-05 21:00:00,2019,10,5,2,21,3,17
234,2019-10-05 22:00:00,2019,10,5,2,22,3,16
236,2019-10-05 23:00:00,2019,10,5,2,23,3,16
238,2019-10-06 00:00:00,2019,10,6,2,0,0,14
240,2019-10-06 01:00:00,2019,10,6,2,1,0,13
242,2019-10-06 02:00:00,2019,10,6,2,2,0,10
244,2019-10-06 03:00:00,2019,10,6,2,3,0,7
246,2019-10-06 04:00:00,2019,10,6,2,4,0,10
248,2019-10-06 05:00:00,2019,10,6,2,5,0,7
250,2019-10-06 06:00:00,2019,10,6,2,6,1,11
252,2019-10-06 07:00:00,2019,10,6,2,7,1,10
254,2019-10-06 08:00:00,2019,10,6,2,8,1,10
256,2019-10-06 09:00:00,2019,10,6,2,9,1,16
258,2019-10-06 10:00:00,2019,10,6,2,10,1,15
260,2019-10-06 11:00:00,2019,10,6,2,11,1,15
262,2019-10-06 12:00:00,2019,10,6,2,12,2,14
264,2019-10-06 13:00:00,2019,10,6,2,13,2,13
266,2019-10-06 14:00:00,2019,10,6,2,14,2,13
