,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,PYONGTAEK
170,2019-10-04 14:00:00,2019,10,4,2,14,2,1.0
172,2019-10-04 15:00:00,2019,10,4,2,15,2,1.0
174,2019-10-04 16:00:00,2019,10,4,2,16,2,1.0
176,2019-10-04 17:00:00,2019,10,4,2,17,2,1.0
178,2019-10-04 18:00:00,2019,10,4,2,18,3,0.5
180,2019-10-04 19:00:00,2019,10,4,2,19,3,0.5
182,2019-10-04 20:00:00,2019,10,4,2,20,3,1.0
184,2019-10-04 21:00:00,2019,10,4,2,21,3,1.0
186,2019-10-04 22:00:00,2019,10,4,2,22,3,0.5
188,2019-10-04 23:00:00,2019,10,4,2,23,3,0.5
190,2019-10-05 00:00:00,2019,10,5,2,0,0,1.0
192,2019-10-05 01:00:00,2019,10,5,2,1,0,1.0
194,2019-10-05 02:00:00,2019,10,5,2,2,0,0.5
196,2019-10-05 03:00:00,2019,10,5,2,3,0,0.5
198,2019-10-05 04:00:00,2019,10,5,2,4,0,1.0
200,2019-10-05 05:00:00,2019,10,5,2,5,0,1.0
202,2019-10-05 06:00:00,2019,10,5,2,6,1,1.0
204,2019-10-05 07:00:00,2019,10,5,2,7,1,1.0
206,2019-10-05 08:00:00,2019,10,5,2,8,1,1.0
208,2019-10-05 09:00:00,2019,10,5,2,9,1,1.0
210,2019-10-05 10:00:00,2019,10,5,2,10,1,1.0
212,2019-10-05 11:00:00,2019,10,5,2,11,1,1.0
214,2019-10-05 12:00:00,2019,10,5,2,12,2,0.5
216,2019-10-05 13:00:00,2019,10,5,2,13,2,0.5
218,2019-10-05 14:00:00,2019,10,5,2,14,2,0.5
220,2019-10-05 15:00:00,2019,10,5,2,15,2,0.5
222,2019-10-05 16:00:00,2019,10,5,2,16,2,1.0
224,2019-10-05 17:00:00,2019,10,5,2,17,2,1.0
226,2019-10-05 18:00:00,2019,10,5,2,18,3,0.5
228,2019-10-05 19:00:00,2019,10,5,2,19,3,0.5
230,2019-10-05 20:00:00,2019,10,5,2,20,3,1.0
232,2019-10-05 21:00:00,2019,10,5,2,21,3,1.0
234,2019-10-05 22:00:00,2019,10,5,2,22,3,1.0
236,2019-10-05 23:00:00,2019,10,5,2,23,3,1.0
