YEAR,SEASON,TIME_PERIOD,GWANGJU_JEONNAM
2019,2,0,60.540983606557376
2019,2,1,66.68852459016394
2019,2,2,44.73770491803279
2019,2,3,65.44262295081967
2019,3,0,137.58064516129033
2019,3,1,140.5483870967742
2019,3,2,88.61290322580645
2019,3,3,135.06451612903226
2020,0,0,75.20652173913044
2020,0,1,87.34782608695652
2020,0,2,57.880434782608695
2020,0,3,84.65217391304348
2020,1,0,24.652173913043477
2020,1,1,57.04347826086956
2020,1,2,70.77173913043478
2020,1,3,43.03260869565217
2020,2,0,58.043956043956044
2020,2,1,69.3076923076923
2020,2,2,55.15384615384615
2020,2,3,69.05494505494505
2020,3,0,160.71428571428572
2020,3,1,158.76923076923077
2020,3,2,99.95604395604396
2020,3,3,151.98901098901098
2021,0,0,76.1086956521739
2021,0,1,88.78260869565217
2021,0,2,59.47826086956522
2021,0,3,89.30434782608695
2021,1,0,24.380434782608695
2021,1,1,65.52173913043478
2021,1,2,90.45652173913044
2021,1,3,50.51086956521739
2021,2,0,58.42857142857143
2021,2,1,72.18681318681318
2021,2,2,61.27472527472528
2021,2,3,71.84615384615384
2021,3,0,182.24444444444444
2021,3,1,176.83333333333334
2021,3,2,116.45555555555555
2021,3,3,182.03333333333333
2022,0,0,79.52173913043478
2022,0,1,96.28260869565217
2022,0,2,62.19565217391305
2022,0,3,95.43478260869566
2022,1,0,29.0
2022,1,1,69.6195652173913
2022,1,2,86.31521739130434
2022,1,3,52.78260869565217
2022,2,0,31.64516129032258
2022,2,1,53.233333333333334
2022,2,2,62.03333333333333
2022,2,3,44.96666666666667
2022,3,0,198.67796610169492
2022,3,1,198.23728813559322
2022,3,2,128.76271186440678
2022,3,3,200.6949152542373
